ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name,1073742126::Name,1075848978::Type,1075848986::Value,1075849001::Min,1075849002::Max,1073742125::Definition
1075839020::1363,CHK_dDateTime_sdSystemDateTime,Validation Rule,CHK_SystemTimeRange_AG,CHK_SystemTimeRange_AG,MinMax, BETWEEN '19000101 00:00:00' AND '99991231 23:59:59',19000101 00:00:00,99991231 23:59:59,
1075839020::1365,CHK_dDateTime,Validation Rule,CHK_Currenttime_AG,CHK_Currenttime_AG,MinMax," BETWEEN '19000101' AND CONVERT(date,sysdatetime())",19000101',"CONVERT(date,sysdatetime())",
1075839020::1366,Validation_Rule_1366,Validation Rule,CHK_AllowedHireDate_AG,CHK_AllowedHireDate_AG,MinMax," BETWEEN '19000101' AND CONVERT(date,sysdatetime())",19000101',"CONVERT(date,sysdatetime())",
1075839020::1390,CHK_dString_sdName,Validation Rule,CHK_StartWithCapitalLetter_AG,CHK_StartWithCapitalLetter_AG,User-Defined,[] like '[A-Z]%',,,
1075839020::1391,CHK_dString_sdFullName,Validation Rule,CHK_FullNameWithCapitals_AG,CHK_FullNameWithCapitals_AG,User-Defined,[] like '[A-Z]% [A-Z]%',,,
1075839020::1392,CHK_dString_sdName_udtTitle,Validation Rule,CHK_TitleOfCourtesy_AG,CHK_TitleOfCourtesy_AG,User-Defined,[]='Mr.' OR []='Ms.' OR []='Mrs.' OR []='Dr.' OR []='Jr.',,,
1075839020::1393,CHK_dString_sdLocation_udtCountry,Validation Rule,CHK_CountryCode_AG,CHK_CountryCode_AG,User-Defined,[] like '[A-Z][A-Z][A-Z]',,,
1075839020::1394,CHK_dString_sdLocation_udtState,Validation Rule,CHK_StateCode_AG,CHK_StateCode_AG,User-Defined,[] like '[A-Z][A-Z]',,,
1075839020::1396,CHK_dString_sdLocation_udtAddress,Validation Rule,CHK_AddressStreetNames_AG,CHK_AddressStreetNames_AG,User-Defined,[]='%Street%' OR []='%Avenue%' OR []='%Road%' OR []='%Boulevard%',,,
